Model,APFD,APFD_C,NAPFD,TTFF,rank_first_failure,recall@10,recall@20,recall@50,recall@100,precision@10,precision@20,precision@50,precision@100,tests_to_50pct,tests_to_75pct,tests_to_90pct,tests_to_100pct
ML_enhanced_concatenated_smote,0.9152765826770671,0.9351864392693362,0.06748395967002754,4847,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,294,483,571,2145
ML_dual_branch_combined_class_weights,0.9071141747258022,0.92518586881105,0.06748395967002754,4694,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.14285714285714285,1.0,1.0,1.0,0.84,336,504,719,2123
ML_basic_history_only_class_weights,0.9049571478453893,0.9188531028322993,0.06748395967002754,4491,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,294,441,723,3202
ML_basic_history_only_smote,0.9045393822056779,0.9194346887482167,0.06748395967002754,4491,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,294,444,701,3142
ML_enhanced_combined_smote,0.9015589049551993,0.9253607917500002,0.06748395967002754,4687,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,315,483,634,2201
ML_dual_branch_files_only_class_weights,0.9007097339394052,0.926498578035892,0.06748395967002754,8441,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,315,483,707,3066
Baseline_Priority_Value,0.8992202747276729,0.945538965170641,0.06748395967002754,3933,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,294,441,655,3772
ML_enhanced_concatenated_class_weights,0.8955176708630289,0.9180651506390282,0.06748395967002754,4558,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,315,546,654,3037
ML_enhanced_combined_class_weights,0.8946790219295784,0.9164844310936058,0.06748395967002754,4457,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,294,567,697,3258
ML_dual_branch_combined_smote,0.8945422348591131,0.9188805086817554,0.06748395967002754,4457,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,294,462,571,3788
ML_dual_branch_commit_only_smote,0.8938980495956402,0.915929820943698,0.06748395967002754,3933,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,315,480,683,4234
ML_dual_branch_concatenated_smote,0.8935441958634965,0.9112995401289044,0.06748395967002754,4111,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,357,524,718,3153
ML_dual_branch_concatenated_class_weights,0.8901291955829077,0.8929778511299524,0.06748395967002754,8555,1,0.017006802721088437,0.034013605442176874,0.04931972789115646,0.13435374149659865,1.0,1.0,0.58,0.79,336,524,634,2817
ML_enhanced_files_only_class_weights,0.8846861613573018,0.9020505001166957,0.06748395967002754,4847,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,315,483,655,3534
ML_enhanced_commit_only_smote,0.8814968012869675,0.9017000440466755,0.06748395967002754,4831,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.14285714285714285,1.0,1.0,1.0,0.84,378,525,676,4315
ML_enhanced_files_only_smote,0.8808658660531123,0.9075609184304082,0.06748395967002754,4491,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.14285714285714285,1.0,1.0,1.0,0.84,378,546,697,3657
ML_dual_branch_commit_only_class_weights,0.8796004882246207,0.8975706616775752,0.06748395967002754,258464,34,0.0,0.0,0.023809523809523808,0.07142857142857142,0.0,0.0,0.28,0.42,357,525,695,4015
ML_dual_branch_files_only_smote,0.8767992760807347,0.9116551753274161,0.06748395967002754,8355,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,315,504,718,3879
ML_enhanced_commit_only_class_weights,0.875612229309689,0.8962092251820711,0.06748395967002754,4357,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.14285714285714285,1.0,1.0,1.0,0.84,399,546,697,4198
Baseline_Historical,0.7765164269190719,0.7786102297613667,0.06748395967002754,339590,33,0.0,0.0,0.015306122448979591,0.04931972789115646,0.0,0.0,0.18,0.29,718,1070,2683,4352
Baseline_Duration,0.5458193818315593,0.8852836510867418,0.06748395967002754,1475094,1551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1896,2076,2266,3764
Baseline_Random,0.5010942965637216,0.5003897976599675,0.06748395967002754,5064,1,0.0017006802721088435,0.003401360544217687,0.008503401360544218,0.02040816326530612,0.1,0.1,0.1,0.12,2214,3291,3898,4352
Baseline_Recency,0.20151775192203375,0.19397594420907735,0.06748395967002754,11776942,1555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3670,4009,4220,4359
